       6900          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7000          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7600          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7700          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7800          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       7900          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8000          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8600          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8700          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8800          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       8900          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9000          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9600          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9700          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9800          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       9900          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10000          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10600          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10700          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10800          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      10900          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11000          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11600          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11700          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11800          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      11900          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      12000          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      12100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      12200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      12300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      12400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      12500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      12600          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
      12700          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      12800          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      12900          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13000          12           4           5           1           4           2
