30
 Atoms. Timestep: 0
2 12.3143 14.1406 10.1733
2 13.4876 14.8811 10.1558
2 14.7023 14.9242 10.4324
3 11.0104 15.8059 15.7073
3 11.2605 14.8205 14.9547
3 19.534 10.6745 17.0427
3 17.4808 18.9969 13.2733
3 16.217 18.5358 13.174
3 22.9512 10.5834 15.7752
3 20.8957 23.2403 14.425
3 22.4749 16.6052 19.4095
3 1.48364 21.5229 13.5698
3 1.51662 21.1798 12.3355
30
 Atoms. Timestep: 700
1 20.2288 2.21589 22.1289
1 20.4838 1.56733 21.5287
1 1.50904 0.578514 2.27561
1 0.8775 0.184133 1.88165
1 7.11535 1.87547 1.87625
1 7.96298 1.77754 1.58205
1 9.9875 8.89378 24.9178
1 10.6618 9.33843 24.8682
1 10.8169 4.25988 9.79519
1 11.601 4.03637 9.72355
2 4.72251 9.11812 9.8261
2 5.78672 9.85323 9.80581
2 6.94756 10.3935 9.89163
2 7.96631 11.421 9.79879
2 8.86359 12.1976 9.75155
2 10.132 12.8677 9.67396
2 11.1357 13.3283 9.90727
2 12.1608 14.1685 10.2663
2 13.3761 14.5503 10.3775
2 14.4756 15.1878 10.3167
3 10.4947 15.7125 15.6934
3 11.1356 14.9225 15.0017
3 19.7185 10.2755 17.1964
3 17.3318 19.1773 13.3034
3 16.1083 18.6539 12.8777
3 23.1742 10.0566 15.8238
3 20.9007 23.6409 14.3842
3 22.4948 16.4678 19.7459
3 1.52479 21.5475 13.3833
3 1.92759 21.4652 12.2123
30
 Atoms. Timestep: 800
1 19.8729 2.23082 21.8642
1 20.0374 1.59028 21.2845
1 1.32568 0.418241 2.29514
1 0.63915 0.0504657 2.02743
1 7.2587 1.61499 1.83046
1 8.12055 1.81416 1.69212
1 10.4049 9.27513 0.106605
1 10.6799 9.66106 24.4844
1 10.9067 4.09486 10.2105
1 11.8072 4.07718 10.3461
2 4.77886 8.89466 9.67163
2 5.78728 9.7699 9.83981
2 6.82022 10.6277 9.85118
2 7.78671 11.5892 10.0088
2 8.88762 12.1494 9.80069
2 10.0968 12.8591 9.66138
